order_id,order_date,customer_id,customer_name,customer_segment,region,state,sales_channel,product_id,product_name,category,unit_price,units_sold,discount_pct,cogs_per_unit,freight_cost,revenue,profit
ORD100010,2022-09-21,C008,Joshi Brothers,Distributor,West,Goa,Direct,P002_FOO,NovaBay Rice 10kg,Food,213.93,31,0.28,121.52,30.13,4774.92,977.67
ORD100011,2024-08-24,C006,Reddy Supermart,Enterprise,South,Kerala,Retail,P003_PER,NovaBay Lotion 150ml,Personal Care,105.73,49,0.31,77.58,69.26,3574.73,-295.95
ORD100012,2024-03-28,C040,Shukla Enterprises,SME,North,Punjab,Wholesale,P003_PER,NovaBay Lotion 150ml,Personal Care,140.23,12,0.14,110.88,70.21,1447.17,46.4
ORD100013,2023-03-04,C015,Das Enterprises,Enterprise,East,Odisha,Direct,P003_BEV,NovaBay Tea 250g,Beverage,82.08,6,0.02,45.57,24.41,482.63,184.8
ORD100014,2022-08-22,C008,Joshi Brothers,Distributor,South,Tamil Nadu,Wholesale,P002_SNA,NovaBay Biscuits 200g,Snacks,85.65,8,0.12,49.89,20.29,602.98,183.57
ORD100015,2023-09-08,C018,Khan General Stores,SME,East,Jharkhand,Wholesale,P004_SNA,NovaBay Popcorn 100g,Snacks,90.94,23,0.11,52.87,20.4,1861.54,625.13
ORD100016,2023-10-13,C026,Desai Retail Co,Enterprise,East,Odisha,Direct,P003_FOO,NovaBay Dal 1kg,Food,129.43,5,0.06,75.05,37.91,608.32,195.16
ORD100017,2024-05-25,C001,Sharma Enterprises,SME,East,Bihar,Retail,P002_BEV,NovaBay Water 500ml,Beverage,139.47,47,0.18,84.53,23.34,5375.17,1378.92
ORD100018,2024-03-02,C021,Mishra Traders,SME,North,Haryana,Retail,P002_FOO,NovaBay Rice 10kg,Food,329.73,5,0.0,195.65,39.8,1648.65,630.6
ORD100019,2024-09-15,C006,Reddy Supermart,Enterprise,South,Telangana,Retail,P004_HOM,NovaBay Freshener 200ml,Home Care,105.36,47,0.35,61.55,35.43,3218.75,290.47
ORD100020,2022-07-08,C040,Shukla Enterprises,SME,North,Delhi,Wholesale,P003_FOO,NovaBay Dal 1kg,Food,387.73,25,0.29,222.76,18.53,6882.21,1294.68
ORD100021,2024-12-08,C029,Jain Enterprises,Enterprise,North,Uttar Pradesh,Direct,P004_HOM,NovaBay Freshener 200ml,Home Care,199.36,17,0.03,125.5,21.36,3287.45,1132.59
ORD100022,2023-03-06,C019,Srivastava Retail,Enterprise,West,Goa,Wholesale,P003_FOO,NovaBay Dal 1kg,Food,127.44,9,0.26,78.6,30.49,848.75,110.86
ORD100023,2024-07-22,C017,Rao Wholesale,Distributor,North,Uttar Pradesh,Wholesale,P002_HOM,NovaBay Cleaner 500ml,Home Care,127.34,9,0.16,76.63,20.27,962.69,252.75
ORD100024,2023-08-14,C003,Mehta Retail Chain,Enterprise,West,Gujarat,Retail,P001_BEV,NovaBay Juice 1L,Beverage,30.44,40,0.33,16.8,14.26,815.79,129.53
ORD100025,2024-06-15,C014,Bose Retail Hub,SME,North,Punjab,Wholesale,P003_FOO,NovaBay Dal 1kg,Food,267.88,47,0.15,157.46,14.84,10701.81,3286.35
ORD100026,2023-06-07,C032,Saxena Retail,Enterprise,South,Tamil Nadu,Direct,P002_HOM,NovaBay Cleaner 500ml,Home Care,153.77,8,0.2,91.87,34.97,984.13,214.2
ORD100027,2023-01-10,C008,Joshi Brothers,Distributor,North,Haryana,Retail,P004_HOM,NovaBay Freshener 200ml,Home Care,132.44,10,0.12,80.29,22.9,1165.47,339.67
ORD100028,2022-12-13,C009,Verma Retail Ltd,Enterprise,East,Bihar,Wholesale,P003_FOO,NovaBay Dal 1kg,Food,334.11,24,0.4,198.0,19.32,4811.18,39.86
ORD100029,2022-09-09,C019,Srivastava Retail,Enterprise,West,Gujarat,Wholesale,P003_HOM,NovaBay Dishwash 500ml,Home Care,110.43,12,0.11,67.81,10.08,1179.39,355.59
ORD100030,2023-10-02,C010,Iyer Wholesale,Distributor,South,Telangana,Retail,P003_FOO,NovaBay Dal 1kg,Food,206.11,27,0.07,124.72,29.26,5175.42,1778.72
ORD100031,2022-03-06,C003,Mehta Retail Chain,Enterprise,West,Rajasthan,Retail,P003_FOO,NovaBay Dal 1kg,Food,309.74,38,0.29,200.0,14.8,8356.79,741.99
ORD100032,2022-12-06,C013,Chopra Distributors,Distributor,North,Uttar Pradesh,Wholesale,P003_HOM,NovaBay Dishwash 500ml,Home Care,151.37,18,0.14,92.22,13.36,2343.21,669.89
ORD100033,2023-10-07,C009,Verma Retail Ltd,Enterprise,West,Goa,Wholesale,P001_SNA,NovaBay Chips 100g,Snacks,71.94,8,0.26,43.25,17.04,425.88,62.84
ORD100034,2022-02-19,C041,Naidu Traders,Enterprise,North,Punjab,Direct,P003_BEV,NovaBay Tea 250g,Beverage,106.0,38,0.17,60.66,28.63,3343.24,1009.53
ORD100035,2023-07-15,C010,Iyer Wholesale,Distributor,South,Kerala,Retail,P004_FOO,NovaBay Oil 1L,Food,280.23,23,0.05,169.05,31.29,6123.03,2203.59
ORD100036,2022-02-05,C004,Singh Wholesale Hub,Distributor,South,Telangana,Retail,P002_BEV,NovaBay Water 500ml,Beverage,33.76,2,0.19,21.65,33.58,54.69,-22.19
ORD100037,2023-10-29,C015,Das Enterprises,Enterprise,North,Uttar Pradesh,Retail,P004_HOM,NovaBay Freshener 200ml,Home Care,176.75,10,0.15,98.64,32.23,1502.38,483.75
ORD100038,2024-09-02,C009,Verma Retail Ltd,Enterprise,West,Maharashtra,Direct,P001_PER,NovaBay Shampoo 200ml,Personal Care,154.05,17,0.25,115.41,52.4,1964.14,-50.23
ORD100039,2023-02-10,C014,Bose Retail Hub,SME,West,Maharashtra,Direct,P001_PER,NovaBay Shampoo 200ml,Personal Care,75.9,32,0.25,56.57,42.97,1821.6,-31.61
ORD100040,2023-06-06,C025,Shah Distributors,Distributor,South,Karnataka,Retail,P004_FOO,NovaBay Oil 1L,Food,316.17,7,0.11,181.84,32.79,1969.74,664.07
ORD100041,2024-01-02,C023,Bajaj Supermart,Enterprise,West,Rajasthan,Wholesale,P004_BEV,NovaBay Coffee 200g,Beverage,111.49,10,0.23,63.14,34.72,858.47,192.35
ORD100042,2023-12-19,C008,Joshi Brothers,Distributor,North,Punjab,Retail,P004_PER,NovaBay Facewash 100ml,Personal Care,182.7,14,0.1,144.13,40.75,2302.02,243.45
ORD100043,2023-06-02,C026,Desai Retail Co,Enterprise,East,Bihar,Wholesale,P001_BEV,NovaBay Juice 1L,Beverage,89.88,44,0.12,58.01,27.13,3480.15,900.58
ORD100044,2023-12-09,C029,Jain Enterprises,Enterprise,East,Odisha,Direct,P001_SNA,NovaBay Chips 100g,Snacks,104.88,41,0.04,66.36,14.49,4128.08,1392.83
ORD100045,2023-06-22,C003,Mehta Retail Chain,Enterprise,North,Haryana,Wholesale,P004_BEV,NovaBay Coffee 200g,Beverage,138.96,5,0.3,88.13,24.44,486.36,21.27
ORD100046,2023-12-18,C006,Reddy Supermart,Enterprise,East,Bihar,Wholesale,P001_FOO,NovaBay Atta 5kg,Food,274.38,18,0.24,177.6,16.75,3753.52,539.97
ORD100047,2023-03-06,C026,Desai Retail Co,Enterprise,West,Maharashtra,Wholesale,P002_SNA,NovaBay Biscuits 200g,Snacks,31.7,46,0.26,18.34,21.75,1079.07,213.68
ORD100048,2023-04-17,C026,Desai Retail Co,Enterprise,North,Uttar Pradesh,Retail,P002_PER,NovaBay Soap 100g,Personal Care,127.73,7,0.2,92.0,68.16,715.29,3.13
ORD100049,2023-08-23,C043,Krishnan Retail,SME,East,Jharkhand,Wholesale,P001_SNA,NovaBay Chips 100g,Snacks,38.14,40,0.31,23.38,7.43,1052.66,110.03
ORD100050,2023-05-21,C019,Srivastava Retail,Enterprise,South,Tamil Nadu,Wholesale,P003_SNA,NovaBay Namkeen 150g,Snacks,22.48,32,0.25,14.61,21.76,539.52,50.24
ORD100051,2024-06-29,C023,Bajaj Supermart,Enterprise,East,West Bengal,Retail,P002_PER,NovaBay Soap 100g,Personal Care,84.66,13,0.06,66.8,46.33,1034.55,119.82
ORD100052,2024-02-29,C001,Sharma Enterprises,SME,East,West Bengal,Retail,P003_FOO,NovaBay Dal 1kg,Food,159.52,6,0.02,93.03,23.86,937.98,355.94
ORD100053,2024-01-25,C022,Tiwari Wholesale,Distributor,South,Karnataka,Retail,P002_SNA,NovaBay Biscuits 200g,Snacks,109.76,9,0.19,69.3,23.63,800.15,152.82
ORD100054,2024-06-29,C003,Mehta Retail Chain,Enterprise,North,Haryana,Retail,P001_PER,NovaBay Shampoo 200ml,Personal Care,153.22,41,0.18,118.29,37.67,5151.26,263.7
ORD100055,2023-03-19,C001,Sharma Enterprises,SME,West,Goa,Wholesale,P004_BEV,NovaBay Coffee 200g,Beverage,32.98,11,0.19,18.54,12.68,293.85,77.23
ORD100056,2023-09-26,C009,Verma Retail Ltd,Enterprise,West,Gujarat,Wholesale,P004_BEV,NovaBay Coffee 200g,Beverage,139.02,31,0.39,86.92,10.68,2628.87,-76.33
ORD100057,2024-06-18,C009,Verma Retail Ltd,Enterprise,West,Maharashtra,Retail,P002_HOM,NovaBay Cleaner 500ml,Home Care,218.6,1,0.4,128.7,16.31,131.16,-13.85
ORD100058,2023-10-16,C003,Mehta Retail Chain,Enterprise,East,Bihar,Direct,P004_FOO,NovaBay Oil 1L,Food,83.75,38,0.24,48.39,29.16,2418.7,550.72
ORD100059,2023-04-01,C001,Sharma Enterprises,SME,West,Rajasthan,Wholesale,P001_PER,NovaBay Shampoo 200ml,Personal Care,166.06,9,0.23,127.64,48.42,1150.8,-46.38
ORD100060,2024-09-07,C035,Chaudhary Stores,Enterprise,South,Telangana,Direct,P002_BEV,NovaBay Water 500ml,Beverage,40.94,1,0.19,23.5,12.84,33.16,-3.18
ORD100061,2023-02-08,C037,Yadav Distributors,Distributor,South,Kerala,Wholesale,P001_FOO,NovaBay Atta 5kg,Food,338.41,32,0.16,202.75,33.89,9096.46,2574.57
ORD100062,2024-04-04,C014,Bose Retail Hub,SME,South,Karnataka,Wholesale,P002_FOO,NovaBay Rice 10kg,Food,284.76,8,0.25,172.27,22.79,1708.56,307.61
ORD100063,2024-10-05,C001,Sharma Enterprises,SME,West,Goa,Wholesale,P001_BEV,NovaBay Juice 1L,Beverage,156.17,49,0.28,87.38,12.17,5509.68,1215.89
ORD100064,2024-06-25,C014,Bose Retail Hub,SME,North,Uttar Pradesh,Wholesale,P004_HOM,NovaBay Freshener 200ml,Home Care,142.57,4,0.21,82.48,36.36,450.52,84.24
ORD100065,2023-01-21,C010,Iyer Wholesale,Distributor,South,Karnataka,Retail,P003_FOO,NovaBay Dal 1kg,Food,351.65,13,0.13,197.6,35.88,3977.16,1372.48
ORD100066,2023-10-29,C002,Patel Distributors,Distributor,West,Maharashtra,Wholesale,P003_FOO,NovaBay Dal 1kg,Food,215.63,9,0.15,129.46,19.31,1649.57,465.12
ORD100067,2023-11-16,C036,Tripathi Trading,SME,West,Gujarat,Direct,P004_FOO,NovaBay Oil 1L,Food,260.11,40,0.37,143.47,25.28,6554.77,790.69
ORD100068,2023-01-19,C002,Patel Distributors,Distributor,West,Gujarat,Direct,P001_SNA,NovaBay Chips 100g,Snacks,89.66,37,0.3,50.39,24.5,2322.19,433.26
ORD100069,2022-11-07,C015,Das Enterprises,Enterprise,North,Delhi,Retail,P002_SNA,NovaBay Biscuits 200g,Snacks,43.43,40,0.1,25.98,16.35,1563.48,507.93
ORD100070,2024-02-01,C017,Rao Wholesale,Distributor,North,Punjab,Wholesale,P001_BEV,NovaBay Juice 1L,Beverage,126.53,23,0.2,78.41,36.54,2328.15,488.18
ORD100071,2023-01-22,C001,Sharma Enterprises,SME,East,Bihar,Retail,P001_SNA,NovaBay Chips 100g,Snacks,61.91,36,0.03,39.64,9.61,2161.9,725.25
ORD100072,2024-07-31,C048,Pawar Retail Chain,Enterprise,South,Kerala,Wholesale,P004_BEV,NovaBay Coffee 200g,Beverage,30.94,21,0.28,19.95,17.33,467.81,31.53
ORD100073,2022-06-26,C015,Das Enterprises,Enterprise,South,Telangana,Retail,P002_SNA,NovaBay Biscuits 200g,Snacks,47.31,47,0.03,27.5,16.21,2156.86,848.15
ORD100074,2024-08-10,C039,Kumar Wholesale,Distributor,East,Jharkhand,Wholesale,P002_HOM,NovaBay Cleaner 500ml,Home Care,112.82,42,0.24,68.4,25.23,3601.21,703.18
ORD100075,2022-01-16,C048,Pawar Retail Chain,Enterprise,North,Punjab,Wholesale,P002_FOO,NovaBay Rice 10kg,Food,302.71,42,0.26,173.86,17.23,9408.23,2088.88
ORD100076,2024-01-31,C042,Menon Wholesale,Distributor,West,Maharashtra,Retail,P004_HOM,NovaBay Freshener 200ml,Home Care,129.2,10,0.23,83.26,25.63,994.84,136.61
ORD100077,2022-10-05,C001,Sharma Enterprises,SME,East,Jharkhand,Retail,P001_BEV,NovaBay Juice 1L,Beverage,194.93,48,0.12,126.02,30.08,8233.84,2154.8
ORD100078,2023-09-22,C003,Mehta Retail Chain,Enterprise,North,Haryana,Direct,P002_FOO,NovaBay Rice 10kg,Food,256.2,49,0.34,144.57,16.09,8285.51,1185.49
ORD100079,2023-03-01,C009,Verma Retail Ltd,Enterprise,South,Kerala,Retail,P003_SNA,NovaBay Namkeen 150g,Snacks,58.53,25,0.39,36.09,8.02,892.58,-17.69
ORD100080,2022-09-08,C009,Verma Retail Ltd,Enterprise,East,Jharkhand,Retail,P004_PER,NovaBay Facewash 100ml,Personal Care,155.67,47,0.14,124.1,67.54,6292.18,391.94
ORD100081,2024-10-06,C008,Joshi Brothers,Distributor,West,Gujarat,Wholesale,P002_BEV,NovaBay Water 500ml,Beverage,133.96,7,0.17,83.05,16.16,778.31,180.8
ORD100082,2024-11-14,C009,Verma Retail Ltd,Enterprise,South,Karnataka,Retail,P002_FOO,NovaBay Rice 10kg,Food,398.31,36,0.3,242.62,21.98,10037.41,1281.11
ORD100083,2024-12-19,C012,Malhotra Stores,Enterprise,East,Jharkhand,Wholesale,P004_HOM,NovaBay Freshener 200ml,Home Care,159.42,8,0.24,94.76,15.41,969.27,195.78
ORD100084,2022-01-18,C001,Sharma Enterprises,SME,West,Maharashtra,Retail,P001_HOM,NovaBay Detergent 1kg,Home Care,138.28,8,0.13,85.46,25.55,962.43,253.2
ORD100085,2024-12-23,C001,Sharma Enterprises,SME,East,Bihar,Wholesale,P001_PER,NovaBay Shampoo 200ml,Personal Care,191.48,25,0.13,151.32,76.99,4164.69,304.7
ORD100086,2022-01-22,C020,Pandey Distributors,Distributor,North,Uttar Pradesh,Retail,P003_BEV,NovaBay Tea 250g,Beverage,102.02,4,0.21,58.19,18.42,322.38,71.2
ORD100087,2023-06-05,C030,Thakur General Store,SME,North,Delhi,Wholesale,P004_BEV,NovaBay Coffee 200g,Beverage,130.31,4,0.2,79.04,29.57,416.99,71.26
ORD100088,2024-01-11,C050,Deshpande Enterprises,Distributor,West,Rajasthan,Direct,P004_SNA,NovaBay Popcorn 100g,Snacks,78.91,32,0.34,50.24,23.59,1666.58,35.31
ORD100089,2022-10-01,C012,Malhotra Stores,Enterprise,West,Rajasthan,Direct,P002_PER,NovaBay Soap 100g,Personal Care,159.72,27,0.38,116.57,56.23,2673.71,-529.91
ORD100090,2022-12-13,C030,Thakur General Store,SME,West,Maharashtra,Wholesale,P004_HOM,NovaBay Freshener 200ml,Home Care,178.53,21,0.18,108.93,28.56,3074.29,758.2
ORD100091,2023-01-30,C009,Verma Retail Ltd,Enterprise,North,Uttar Pradesh,Wholesale,P004_SNA,NovaBay Popcorn 100g,Snacks,42.0,45,0.26,26.71,13.33,1398.6,183.32
ORD100092,2023-04-11,C008,Joshi Brothers,Distributor,East,Bihar,Retail,P004_BEV,NovaBay Coffee 200g,Beverage,55.8,40,0.18,30.96,38.37,1830.24,553.47
ORD100093,2024-05-03,C026,Desai Retail Co,Enterprise,West,Goa,Wholesale,P003_BEV,NovaBay Tea 250g,Beverage,176.38,2,0.22,113.34,36.93,275.15,11.54
ORD100094,2023-02-15,C031,Bansal Distributors,Distributor,North,Haryana,Direct,P003_HOM,NovaBay Dishwash 500ml,Home Care,217.17,8,0.05,123.96,10.79,1650.49,648.02
ORD100095,2023-07-04,C004,Singh Wholesale Hub,Distributor,South,Tamil Nadu,Direct,P002_BEV,NovaBay Water 500ml,Beverage,52.21,25,0.12,30.76,14.09,1148.62,365.53
ORD100096,2023-08-09,C026,Desai Retail Co,Enterprise,South,Telangana,Direct,P003_HOM,NovaBay Dishwash 500ml,Home Care,88.51,29,0.02,51.67,14.96,2515.45,1002.06
ORD100097,2023-05-21,C019,Srivastava Retail,Enterprise,South,Telangana,Retail,P004_FOO,NovaBay Oil 1L,Food,292.33,19,0.03,177.63,32.74,5387.64,1979.93
ORD100098,2023-02-09,C002,Patel Distributors,Distributor,West,Gujarat,Direct,P004_BEV,NovaBay Coffee 200g,Beverage,56.66,20,0.18,36.29,38.44,929.22,164.98
ORD100099,2024-12-19,C014,Bose Retail Hub,SME,South,Telangana,Retail,P003_HOM,NovaBay Dishwash 500ml,Home Care,179.37,46,0.14,109.1,16.33,7095.88,2060.95
ORD100100,2022-10-09,C026,Desai Retail Co,Enterprise,South,Tamil Nadu,Wholesale,P003_PER,NovaBay Lotion 150ml,Personal Care,177.2,30,0.1,134.38,40.55,4784.4,712.45
ORD100101,2023-01-29,C009,Verma Retail Ltd,Enterprise,North,Punjab,Retail,P002_BEV,NovaBay Water 500ml,Beverage,158.95,31,0.32,101.47,17.53,3350.67,187.57
ORD100102,2022-05-22,C001,Sharma Enterprises,SME,East,Jharkhand,Direct,P001_BEV,NovaBay Juice 1L,Beverage,61.9,12,0.19,34.61,12.09,601.67,174.26
ORD100103,2024-08-30,C001,Sharma Enterprises,SME,North,Punjab,Wholesale,P004_FOO,NovaBay Oil 1L,Food,84.61,23,0.19,47.69,13.29,1576.28,466.12
ORD100104,2023-04-16,C042,Menon Wholesale,Distributor,North,Delhi,Wholesale,P002_SNA,NovaBay Biscuits 200g,Snacks,39.19,3,0.13,22.3,21.86,102.29,13.53
ORD100105,2023-09-13,C013,Chopra Distributors,Distributor,West,Maharashtra,Wholesale,P002_PER,NovaBay Soap 100g,Personal Care,252.39,27,0.33,188.21,58.67,4565.74,-574.6
ORD100106,2023-07-16,C015,Das Enterprises,Enterprise,West,Gujarat,Wholesale,P003_PER,NovaBay Lotion 150ml,Personal Care,112.1,10,0.15,85.3,60.87,952.85,38.98
ORD100107,2022-04-30,C001,Sharma Enterprises,SME,South,Karnataka,Retail,P003_BEV,NovaBay Tea 250g,Beverage,156.94,49,0.09,99.59,16.29,6997.95,2101.75
ORD100108,2024-06-07,C009,Verma Retail Ltd,Enterprise,West,Gujarat,Wholesale,P004_FOO,NovaBay Oil 1L,Food,387.87,2,0.37,214.18,25.47,488.72,34.89
ORD100109,2024-07-15,C004,Singh Wholesale Hub,Distributor,East,Odisha,Wholesale,P004_SNA,NovaBay Popcorn 100g,Snacks,77.68,9,0.31,48.39,8.26,482.39,38.62
ORD100110,2023-12-30,C029,Jain Enterprises,Enterprise,North,Uttar Pradesh,Wholesale,P002_PER,NovaBay Soap 100g,Personal Care,106.86,21,0.13,77.91,55.42,1952.33,260.8
ORD100111,2023-12-05,C015,Das Enterprises,Enterprise,West,Rajasthan,Wholesale,P004_HOM,NovaBay Freshener 200ml,Home Care,94.27,22,0.1,55.9,10.37,1866.55,626.38
ORD100112,2024-11-13,C026,Desai Retail Co,Enterprise,North,Haryana,Retail,P002_BEV,NovaBay Water 500ml,Beverage,84.56,4,0.13,51.93,19.65,294.27,66.9
ORD100113,2023-07-09,C003,Mehta Retail Chain,Enterprise,East,Jharkhand,Wholesale,P004_FOO,NovaBay Oil 1L,Food,399.41,5,0.4,255.17,14.73,1198.23,-92.35
ORD100114,2022-01-17,C029,Jain Enterprises,Enterprise,East,Odisha,Wholesale,P004_BEV,NovaBay Coffee 200g,Beverage,148.38,25,0.18,94.4,17.14,3041.79,664.65
ORD100115,2022-09-04,C040,Shukla Enterprises,SME,North,Uttar Pradesh,Direct,P002_PER,NovaBay Soap 100g,Personal Care,205.4,5,0.2,163.13,46.04,821.6,-40.09
ORD100116,2024-12-25,C032,Saxena Retail,Enterprise,South,Tamil Nadu,Wholesale,P002_BEV,NovaBay Water 500ml,Beverage,131.42,34,0.17,76.63,19.9,3708.67,1083.35
ORD100117,2023-06-24,C009,Verma Retail Ltd,Enterprise,East,Odisha,Retail,P004_HOM,NovaBay Freshener 200ml,Home Care,180.84,34,0.14,113.19,30.47,5287.76,1408.83
ORD100118,2024-03-30,C022,Tiwari Wholesale,Distributor,West,Gujarat,Retail,P003_FOO,NovaBay Dal 1kg,Food,239.39,6,0.18,148.39,22.85,1177.8,264.61
ORD100119,2023-12-17,C017,Rao Wholesale,Distributor,North,Haryana,Wholesale,P001_FOO,NovaBay Atta 5kg,Food,248.27,44,0.13,151.26,34.23,9503.78,2814.11
ORD100120,2022-09-01,C007,Nair Trading Co,SME,West,Rajasthan,Wholesale,P002_PER,NovaBay Soap 100g,Personal Care,96.74,49,0.25,75.09,55.52,3555.19,-179.74
ORD100121,2023-01-15,C001,Sharma Enterprises,SME,South,Kerala,Direct,P001_FOO,NovaBay Atta 5kg,Food,100.22,3,0.08,57.11,31.13,276.61,74.15
ORD100122,2022-07-28,C029,Jain Enterprises,Enterprise,West,Rajasthan,Wholesale,P001_PER,NovaBay Shampoo 200ml,Personal Care,250.51,25,0.33,180.42,79.24,4196.04,-393.7
ORD100123,2022-01-27,C015,Das Enterprises,Enterprise,South,Karnataka,Retail,P004_PER,NovaBay Facewash 100ml,Personal Care,59.24,40,0.24,46.45,74.14,1800.9,-131.24
ORD100124,2022-01-07,C032,Saxena Retail,Enterprise,West,Gujarat,Retail,P002_BEV,NovaBay Water 500ml,Beverage,107.51,6,0.36,59.7,35.46,412.84,19.18
ORD100125,2023-01-18,C008,Joshi Brothers,Distributor,North,Uttar Pradesh,Wholesale,P004_HOM,NovaBay Freshener 200ml,Home Care,216.14,43,0.25,137.29,25.58,6970.51,1041.46
ORD100126,2022-09-28,C011,Kapoor Traders,SME,East,Bihar,Retail,P001_FOO,NovaBay Atta 5kg,Food,178.02,20,0.16,107.5,12.76,2990.74,827.98
ORD100127,2022-06-02,C020,Pandey Distributors,Distributor,West,Maharashtra,Retail,P004_FOO,NovaBay Oil 1L,Food,195.82,36,0.37,126.78,39.23,4441.2,-162.11
ORD100128,2024-04-12,C020,Pandey Distributors,Distributor,East,Bihar,Retail,P001_HOM,NovaBay Detergent 1kg,Home Care,128.97,44,0.13,72.2,29.73,4936.97,1730.44
ORD100129,2024-11-24,C020,Pandey Distributors,Distributor,North,Uttar Pradesh,Wholesale,P001_FOO,NovaBay Atta 5kg,Food,236.56,16,0.14,144.92,39.07,3255.07,897.28
ORD100130,2024-08-23,C002,Patel Distributors,Distributor,East,Jharkhand,Wholesale,P003_HOM,NovaBay Dishwash 500ml,Home Care,73.19,2,0.21,45.99,17.29,115.64,6.37
ORD100131,2023-12-08,C006,Reddy Supermart,Enterprise,South,Karnataka,Retail,P003_FOO,NovaBay Dal 1kg,Food,346.31,28,0.26,201.29,18.51,7175.54,1520.91
ORD100132,2022-06-14,C014,Bose Retail Hub,SME,West,Gujarat,Wholesale,P001_PER,NovaBay Shampoo 200ml,Personal Care,220.14,7,0.17,159.38,48.45,1279.01,114.9
ORD100133,2024-04-28,C043,Krishnan Retail,SME,West,Goa,Retail,P002_PER,NovaBay Soap 100g,Personal Care,201.18,45,0.27,147.4,53.0,6608.76,-77.24
ORD100134,2023-11-15,C017,Rao Wholesale,Distributor,South,Kerala,Retail,P002_FOO,NovaBay Rice 10kg,Food,164.21,24,0.23,95.14,18.84,3034.6,732.4
ORD100135,2024-09-12,C004,Singh Wholesale Hub,Distributor,West,Rajasthan,Retail,P003_FOO,NovaBay Dal 1kg,Food,281.64,30,0.34,157.53,34.71,5576.47,815.86
ORD100136,2023-01-04,C009,Verma Retail Ltd,Enterprise,North,Delhi,Retail,P002_HOM,NovaBay Cleaner 500ml,Home Care,148.45,18,0.18,84.21,35.58,2191.12,639.76
ORD100137,2023-01-30,C044,Venkat Distributors,Distributor,South,Karnataka,Direct,P002_HOM,NovaBay Cleaner 500ml,Home Care,139.39,34,0.01,79.96,31.19,4691.87,1942.04
ORD100138,2024-05-23,C048,Pawar Retail Chain,Enterprise,West,Gujarat,Retail,P002_FOO,NovaBay Rice 10kg,Food,313.27,28,0.26,195.16,21.27,6490.95,1005.2
ORD100139,2022-03-03,C019,Srivastava Retail,Enterprise,East,Bihar,Wholesale,P002_BEV,NovaBay Water 500ml,Beverage,60.77,20,0.19,38.64,20.17,984.47,191.5
ORD100140,2022-06-13,C020,Pandey Distributors,Distributor,North,Delhi,Direct,P003_FOO,NovaBay Dal 1kg,Food,346.37,2,0.22,210.18,18.71,540.34,101.27
ORD100141,2022-05-04,C002,Patel Distributors,Distributor,North,Uttar Pradesh,Wholesale,P004_FOO,NovaBay Oil 1L,Food,107.85,47,0.27,67.71,26.12,3700.33,491.84
ORD100142,2022-01-05,C007,Nair Trading Co,SME,North,Delhi,Retail,P004_FOO,NovaBay Oil 1L,Food,94.46,2,0.08,52.39,34.32,173.81,34.71
ORD100143,2023-03-01,C010,Iyer Wholesale,Distributor,South,Kerala,Retail,P004_BEV,NovaBay Coffee 200g,Beverage,80.68,24,0.02,48.64,18.08,1897.59,712.15
ORD100144,2022-01-07,C003,Mehta Retail Chain,Enterprise,South,Kerala,Wholesale,P003_PER,NovaBay Lotion 150ml,Personal Care,162.9,24,0.31,118.27,54.7,2697.62,-195.56
